Repository,Description
cocosip/sharp-abp,abpvnext extension modules
JacobsDataSolutions/OrgManager,cqrs clean domaindriven design concepts aspnet core stack demo application fictional corporate organization management tool
LemonUIbyLemon/LemonUI,lemonui net fivem ragemp ragepluginhook scripthookvdotnet three
Tvtig/UnityLightsaber,lighsaber modelled blender brough life unity
WOA-Project/Lumia-Drivers,collection driver binaries lumia devices
handzlikchris/Unity.MissingUnityEvents,editor extension generate events executed property set eg transformposition transformrotation transformparent allows write event driven code debug property changes simple track easily customisable allow adding events different property setters types
leftp/VmdkReader,net forty console app browse vmdk vhd images extract files
microsoft/Audio-Manager-for-Unity,tool defining executing audio behaviors unity node based editor
BlueMystical/EDHM_UI,user interface edhm mod elite dangerous
JosefNemec/PlayniteExtensions,extensions playnite game launcher manager
Mxater/DualSenseSupport,preliminar dualsense
CSharpDesignPro/Navigation-Drawer-Sidebar-Menu-in-WPF,design navigation drawer sidebar menu wpf
ZHOURUIH/MyFramework,unityunity
marijnz/NativeOctree,octree native collection unity dots
wwh1004/ConfuserExTools,confuserex unpacking tools
jhrscom/JHRS,jhrs wpf framework used demonstrate use wpf xamarin build development framework presentation framework provides idea apply actual projects need complete functions
Unity-Technologies/Kinematica_Demo,kinematica demo project
AdAstra-LD/DS-Pokemon-Rom-Editor,new ds pokemon rom editor based nmuras two thousand twenty edition expanded loads new features bugfixes better usability
rotolonico/FirebaseWebGL,unity package makes use firebase javascript sdk implement basic realtime database functions webgl builds
ReverendThing/Carnivore,microsoft external attack tool
e-jlion/NetCoreDemo,aspnet core 3x demoidentityserve4
microsoft/CSS_SQL_Networking_Tools,tools used sql networking customer support team
boringsky/Unity_ChinesePainting,untiy chinese painting rendering
506638093/RichText,unityugui
dotnet/deployment-tools,repo contains code build net deployment tools installers supported platforms well sources net deployment tools
Executor-Cheng/Mirai-CSharp,csharpmiraiapi
blendogames/flotilla,source code tactical space game flotilla two thousand ten
patriksvensson/dotnet-example,dotnet tool list run examples
SolidAlloy/GenericUnityObjects,generic unityengineobjects
jianjipan/MES,csharpmes supersocketwpf
hougaard/Youtube-Video-Sources,source code youtube videos
knightswarrior/AppAutoUpdater,autoupdater library allows developers easily add auto update feature desktop windows macos linux application
YunxiuXu/Virus-School,unity
phi-lira/SmartTexture,unity tool pack texture channels single texture
sarkahn/dots-roguelike,traditional ascii roguelike built using unitys ecsdots framework
stella3d/SharedArray,zerocopy sharing managed native arrays unity
kagurazakasanae/Il2CppDumper-YuanShen,modified version il2cppdumper allows dump methods userassemblydll game genshin impact
amrali-eg/EncodingChecker,gui tool allows validate text encoding one files modified
fuluteam/ICH.Snowflake,idnet corek8s
binarythistle/S03E02---.NET-Core-3.1-MVC-REST-API,complete code net core thirtyone mvc rest api
AmplifyCreations/AmplifyColor,full sourcecode amplify color plugin unity
3gstudent/SharpRDPCheck,use check valid account remote desktop protocolsupport plaintext ntlmhash
WiiLink24/WiiLink24-Patcher,repository containing patchers help download channels
WalletConnect/WalletConnectSharp,csharp implementation walletconnect protocol
AzureAD/SCIMReferenceCode,reference code build scim endpoint automate provisioning
nabsul/kcert,kcert simple let us encrypt manager kubernetes
Unity-Technologies/TheHeretic-VFXCharacter,morgan vfx character heretic short film made unity
brunobritodev/AspNetCore.IQueryable.Extensions,linq extensions help build iqueryable expressions
spaceflint7/bluebonnet,implementation net platform top java virtual machine
tommybazar/TBRaymarchProject,allows volumetric rendering 3d data unreal engine
itewqq/MathpixCsharp,mathpixcsharp csharpmathpix windows
dje-dev/Ceres,ceres mcts chess engine research recreation
zcgonvh/CVE-2020-17144,weaponized tool cve202017144
WolvenKit/CyberCAT,cyberpunk two thousand seventyseven customization assistant tool work progress savegame editor
ruccho/WaterRW,waterrw 2d interactive water system unity
minism/fps-netcode,quakestyle multiplayer fps demo integrates number modern netcode techniques quality gameplay
sekkit/Verse.NET,single process online game server minimum design
oncemi/OnceMi.AspNetCore.OSS,aspnet coreminioosscoskodoobsbosoos
zachbarth/minimalist-game-framework,minimalist game framework style game engine use zachtronics
Aeroluna/NoodleExtensions,mod let us see cool things mappers put maps report issues reaxt
passthehashbrowns/SharpRDPThief,csharp implementation rdpthief steal credentials rdp
authindicators/svg-ps-converters,tools exporting svg tiny portablesecure format
keijiro/DofVfxSamples,dof particle sample unity vfx graph
TheWover/GhostLoader,ghostloader appdomainmanager injection
pluveto/Caplos,tool squeeze power capslock key
Airboi/CVE-2020-17144-EXP,exchange2010 authorized rce
rvrsh3ll/MSBuildAPICaller,msbuild without msbuildexe
StoreDev/StoreLib,storelib dotnet library provides apis interact various microsoft store endpoints
Yaxser/SharpPhish,using outlook com objects create convincing phishing emails without user noticing project meant internal phishing
geekoutnet/CollectiveOAuth,netcsharp net framework fortyfive four hundred sixtytwo netcore 31githubgiteecodingoschinaqqgooglefacebookteambitionstackoverflowpinterestgitlab
mixandjam/FFVII-TacticalMode,recreating tactical mode mechanic final fantasy vii remake
jhalon/SharpCall,simple poc demonstrating syscall execution csharp
mettoc/Abp.WorkflowCore,abpworkflowcorejsplumb
yaakov-h/Notepad.Extensions.Logging,net logging notepad
SteveDunn/PacManBlazor,pacman blazor webassembly
joaen/EasyIK,simple fast ik solver unity
Ingan121/BasicThemer2,apply basic theme windows vista7 windows vista10 without disabling dwm composition
jiangjinnan/InsideAspNetCore3,aspnet core three
srini0x00/dvta,damn vulnerable thick client app developed csharp net
perholmes/UnityAutoBundles,extension unitys addressables making easier distribute large projects keep mobile download size small
DSprtn/GTFO_VR_Plugin,plugin add full roomscale virtual reality support favorite game
gmenounos/kw1281test,vw kw1281 protocol test tool
TextusGames/UnitySerializedReferenceUI,ui unitys serealizedreference attribute allows change instance type field right editor
robinvanderknaap/authorization-server-openiddict,authorization server implemented openiddict
zwl568633995/AspNetCoreScaffolding,netcore
jfmaes/GG-AESY,hide cool stuff images
Razchek/Unispect,mono type definition field inspector unity games compiled mono
vesoapp/veso,open source media server
RedSiege/hot-manchego,macroenabled excel file generator xlsm using epplus library
piratesephiroth/TeconmoonWiiVCInjector,fork popular wii virtual console injector wii teconmoon
nccgroup/Carnivore,tool assessing onpremises microsoft servers authentication adfs skype exchange rdweb
EntroPi-Games/GPU-Line-of-Sight,gpu line sight field view visualization unity
cdians/youyiPUBG,pubg
FuzzySecurity/BlueHatIL-2020,bluehatil two thousand twenty staying bringing covert injection tradecraft net
checkymander/Carbuncle,tool interacting outlook interop red team engagements
BattleDawnNZ/ProceduralAnimation,procedural animation scripts unity
JonPSmith/EfCore.SchemaCompare,library compare ef cores model database databases schema
pshtif/RuntimeTransformHandle,runtime transform handle unity
CodeMazeBlog/identity-aspnetcore,repo contains source code identity aspnet core series code maze
admin-shell-io/aasx-package-explorer,csharp based viewer editor asset administration
JamesMcMahon/monocle-engine,mirror maddy thorsons csharp game engine monogame csharp game engine based towerfall ascension core engine code
SardineFish/SRP-Demos,demos custom unity scriptable render pipeline
Wyamio/Wyam,modular static content static site generator
jfmaes/TrustJack,yet another poc
mbaske/grid-sensor,grid sensor components unity mlagents
oakwarrior/DeathAndTaxes,source code placeholder gameworks debut title death taxes coding
dynamiquel/NVIDIA-Ansel-AI-Enhancer,nvidia ansel ai enhancer app quickly made takes advantage nvidias ansel rtx ai upres allow users upscale image 8k whiles adding quality
louislam/lazy-compress-h265,compress convert video files h265 hevc format oneclick make size much smaller
OfficeDev/microsoft-teams-apps-faqplus,faq plus friendly qa bot brings human loop unable help answer knowledge base
microsoft/Armada,armada tool writing proving correct highperformance concurrent programs
haolange/InfinityTexture,runtime virtual texture unity urp
TheAllenChou/unity-physics-constraints,minimalistic educational constraintbased physics framework
3dudu/agv-wcs,agv
pardeike/HarmonyRimWorld,rimworld mod installs harmony mods
Azure-Samples/Serverless-APIs,guidance building serverless apis azure functions api management
StefanJo3107/ASCII-Rendering-Shader-in-Unity,unity image effect replicates retro ascii rendering seen games rogue dwarf fortress
teduinternational/eShopSolution,eshopsolution tutorial solution everyone using net core thirtyone
laicasaane/unity-addressables-manager,unity addressables manager
aws/aws-dotnet-deploy,opinionated tooling simplifies deployment net applications aws
ivaylokenov/Domain-Driven-Design-with-ASP.NET-Core-Microservices,domaindriven design aspnet core microservices
xujiangjiang/Easy-Bug-Manager,easy bug manager tool bug management made using wpfbugwpf
davidfowl/IISCrossover,prototype running aspnet aspnet core iis pipeline
PacktPublishing/-Learn-WinUI-3.0,learn winui thirty published packt
ShrineGames/UnityMirrorTutorials,code unity mirror networking tutorial series
aboudoux/BlazorAnimation,blazor component based animatecss easly animate content
drakewill-CRL/ROMSorter,detect rename roms games
756915370/LuaRuntimeHotfix,lua runtime update module unity
vavilichev/Lukomor,lukomor architectural framework unity includes mvvm implementation di
jamesmontemagno/app-ac-islandtracker,animal crossing island tracking mobile app
vrchat-community/EasyQuestSwitch,easyquestswitch unity editor tool developed vrchat world creators automate changes components within scene soon build platform changed pc android oculus quest vice versa
jglim/CaesarSuite,library applications work dmlr diagnostics cbf files
Nrjwolf/unity-auto-attach-component-attributes,auto attach components inspector
hexfati/SharpDllLoader,simple csharp executable invokes arbitrary method arbitrary csharp dll
jspuij/TwokaB,blazor webview control wpf android macos ios run blazor net core mono natively inside webview
